"user_id","gender","first","last","electronics","nonelectronics","home","sports","clothes","health","books","digital","toys","subscribe","city"
10006,"F",7,7,15,98,0,1,0,0,0,0,0,"yes","London"
10009,"F",65,5,130,288,0,2,3,2,0,3,1,"yes","Glasgow"
10041,"M",31,17,70,266,2,0,1,1,0,2,0,"yes","Glasgow"
10055,"F",77,5,137,49,2,1,3,0,1,1,4,"yes","London"
10073,"M",41,15,61,119,2,0,0,1,0,1,1,"yes","London"
10083,"F",53,7,98,54,1,0,1,0,2,4,0,"yes","London"
10092,"F",37,3,139,297,2,0,3,2,1,2,2,"yes","Birmingham"
10100,"M",17,1,39,281,0,0,0,1,0,2,0,"yes","Glasgow"
10103,"F",3,3,15,253,0,0,0,0,0,0,1,"yes","Manchester"
10117,"M",59,7,142,223,3,0,0,0,1,1,6,"yes","Bristol"
10120,"F",19,9,54,199,1,0,0,0,1,1,1,"yes","Birmingham"
10136,"F",61,1,134,64,2,3,2,1,0,2,2,"yes","London"
10137,"M",11,5,24,256,0,2,0,0,0,0,0,"yes","Birmingham"
10145,"F",49,11,134,259,3,0,3,0,0,2,3,"yes","sheffield"
10150,"F",37,9,76,62,2,3,0,0,0,1,1,"yes","Bristol"
10158,"M",19,13,28,114,0,1,0,0,0,1,0,"yes","Glasgow"
10159,"M",17,9,25,226,0,0,2,0,0,0,0,"yes","London"
10178,"M",17,13,29,101,1,0,0,0,0,0,1,"yes","London"
10180,"F",5,5,15,293,0,0,0,0,0,1,0,"yes","London"
10187,"F",27,5,73,289,0,1,1,0,1,2,1,"yes","Birmingham"
10196,"F",17,9,28,223,1,0,0,0,0,1,0,"yes","London"
10211,"F",15,15,15,234,1,0,0,0,0,0,0,"yes","London"
10223,"F",49,13,117,194,0,0,2,1,0,0,6,"yes","Birmingham"
10230,"M",11,7,26,154,0,1,0,1,0,0,0,"yes","London"
10231,"M",33,29,28,199,1,0,0,0,0,1,0,"yes","London"
10239,"F",1,1,15,29,0,0,1,0,0,0,0,"yes","Birmingham"
10244,"M",21,1,93,256,2,0,1,0,1,3,1,"yes","Liverpool"
10271,"F",55,1,117,69,2,1,1,2,1,1,2,"yes","London"
10286,"M",5,5,15,69,0,0,0,0,1,0,0,"yes","Birmingham"
10381,"F",21,3,83,124,2,1,1,0,0,1,2,"yes","London"
10420,"F",53,11,133,235,3,1,3,0,3,1,1,"yes","London"
10433,"F",21,13,25,214,1,0,1,0,0,0,0,"yes","Manchester"
10440,"F",43,9,146,312,1,0,3,1,2,2,3,"yes","Glasgow"
10453,"F",45,9,85,69,0,2,0,1,0,1,3,"yes","London"
10461,"M",27,9,71,89,1,1,1,1,1,0,1,"yes","Liverpool"
10477,"M",15,11,27,96,1,0,0,0,1,0,0,"yes","Glasgow"
10503,"M",13,3,59,106,2,0,1,0,1,0,1,"yes","Liverpool"
10504,"F",29,13,41,7,0,0,0,0,1,1,1,"yes","Manchester"
10507,"M",5,3,23,195,2,0,0,0,0,0,0,"yes","Glasgow"
10518,"M",11,9,23,250,2,0,0,0,0,0,0,"yes","Glasgow"
10526,"F",21,15,29,142,0,0,0,0,1,0,1,"yes","London"
10540,"F",9,9,15,235,1,0,0,0,0,0,0,"yes","Birmingham"
10543,"F",39,9,108,127,3,0,1,1,0,1,3,"yes","London"
10545,"M",25,21,28,72,0,0,0,1,0,1,0,"yes","London"
10546,"F",7,7,15,26,0,0,0,0,1,0,0,"yes","London"
10548,"F",59,9,114,213,4,2,1,0,1,0,2,"yes","sheffield"
10558,"M",17,11,27,225,0,0,0,0,2,0,0,"yes","London"
10564,"F",5,1,27,195,1,0,0,0,1,0,0,"yes","London"
10582,"F",1,1,15,125,1,0,0,0,0,0,0,"yes","London"
10591,"F",29,7,104,117,1,1,2,1,2,1,1,"yes","Liverpool"
10610,"F",47,9,87,244,1,0,1,0,0,2,3,"yes","London"
10617,"M",21,13,29,16,0,0,0,0,1,0,1,"yes","London"
10647,"M",7,3,29,280,0,0,1,0,0,0,1,"yes","London"
10656,"F",9,9,15,265,1,0,0,0,0,0,0,"yes","London"
10662,"M",3,3,15,75,0,0,0,0,0,0,1,"yes","Glasgow"
10679,"M",27,3,77,254,3,0,2,0,0,2,0,"yes","Glasgow"
10696,"F",9,7,29,283,0,0,0,1,0,0,1,"yes","London"
10697,"F",33,31,28,102,0,0,0,0,1,1,0,"yes","London"
10708,"M",77,29,130,147,2,0,1,1,2,2,3,"yes","Glasgow"
10714,"M",45,9,106,58,0,2,3,0,0,0,4,"yes","London"
10723,"F",35,1,105,110,0,1,0,0,1,3,3,"yes","London"
10731,"M",37,13,63,109,0,0,1,2,0,1,1,"yes","London"
10736,"M",27,15,49,236,0,0,3,0,0,0,1,"yes","London"
10740,"F",35,15,80,273,3,0,1,0,1,1,1,"yes","Bristol"
10747,"M",35,5,132,254,4,0,1,0,0,2,4,"yes","Birmingham"
10752,"F",21,1,104,324,2,1,1,0,0,2,3,"yes","London"
10754,"F",67,11,132,264,6,0,3,0,0,2,1,"yes","Birmingham"
10766,"F",31,13,109,150,0,0,3,1,3,1,1,"yes","sheffield"
10777,"M",25,3,116,199,2,0,2,0,5,0,1,"yes","Manchester"
10780,"F",35,7,120,257,3,2,3,0,0,1,2,"yes","sheffield"
10783,"M",57,9,138,169,4,1,4,0,2,0,1,"yes","Manchester"
10785,"M",7,7,15,88,1,0,0,0,0,0,0,"yes","London"
10786,"F",21,13,29,175,0,0,1,0,0,0,1,"yes","Birmingham"
10796,"F",9,9,15,146,0,0,0,0,0,1,0,"yes","London"
10803,"M",29,9,81,106,1,1,1,0,1,1,2,"yes","London"
10818,"M",47,1,132,33,1,0,3,2,0,0,5,"yes","Birmingham"
10829,"F",9,9,15,51,0,0,1,0,0,0,0,"yes","London"
10833,"F",65,13,104,214,5,1,0,0,0,1,2,"yes","London"
10849,"M",21,5,72,177,2,0,1,0,1,1,1,"yes","London"
10859,"M",61,3,134,60,2,1,3,2,1,2,1,"yes","sheffield"
10890,"M",31,3,73,262,0,1,0,1,1,3,0,"yes","London"
10927,"F",45,9,109,50,2,0,1,0,0,5,1,"yes","Birmingham"
10929,"F",59,11,103,171,2,0,2,0,1,3,1,"yes","Birmingham"
10934,"M",5,1,25,55,1,0,1,0,0,0,0,"yes","London"
10937,"F",17,9,29,134,0,0,1,0,0,0,1,"yes","London"
10938,"F",59,9,121,196,0,1,3,2,1,0,3,"yes","Glasgow"
10941,"F",45,9,140,109,0,0,1,2,2,2,4,"yes","London"
10951,"M",91,27,138,278,1,1,3,1,3,3,0,"yes","Birmingham"
10957,"M",53,33,64,146,0,0,2,0,1,1,1,"yes","London"
10989,"M",21,9,37,176,0,1,0,0,0,2,0,"yes","sheffield"
10996,"F",33,9,127,273,1,0,1,1,0,3,4,"yes","Birmingham"
11015,"M",65,7,138,45,4,0,2,1,0,4,1,"yes","Manchester"
11019,"M",15,11,29,207,0,0,0,0,1,0,1,"yes","Birmingham"
11023,"M",7,7,15,136,0,0,0,1,0,0,0,"yes","Glasgow"
11045,"M",17,15,25,215,0,1,1,0,0,0,0,"yes","London"
11061,"M",5,5,15,82,0,0,0,0,0,1,0,"yes","London"
11077,"M",11,5,37,230,2,0,0,0,0,0,1,"yes","London"
11089,"M",27,5,55,81,1,1,2,0,0,1,0,"yes","sheffield"
11137,"M",17,3,36,93,1,0,0,1,0,1,0,"yes","London"
11161,"F",5,3,29,60,0,0,0,0,0,1,1,"yes","London"
11171,"F",7,3,29,251,0,0,0,0,1,0,1,"yes","London"
11175,"M",61,7,140,143,5,0,4,0,0,1,2,"yes","Glasgow"
11181,"F",49,9,114,152,0,0,5,0,0,2,2,"yes","Birmingham"
11189,"F",7,1,28,212,0,1,0,0,0,1,0,"yes","Glasgow"
11199,"F",11,11,15,129,0,1,0,0,0,0,0,"yes","sheffield"
11205,"M",5,1,28,46,0,0,0,1,0,1,0,"yes","Glasgow"
11217,"F",7,5,25,138,1,0,1,0,0,0,0,"yes","sheffield"
11235,"F",1,1,15,55,0,0,0,0,0,0,1,"yes","London"
11243,"F",7,3,29,222,0,0,0,0,0,1,1,"yes","London"
11258,"F",29,15,40,96,0,0,0,1,1,1,0,"yes","Manchester"
11282,"F",29,29,15,273,0,0,0,1,0,0,0,"yes","London"
11284,"F",75,5,144,163,0,0,4,2,3,1,2,"yes","Birmingham"
11310,"M",13,13,15,275,0,0,0,0,1,0,0,"yes","Bristol"
11322,"M",9,1,37,267,1,0,0,0,0,1,1,"yes","Liverpool"
11398,"M",37,3,120,272,4,0,1,0,2,2,1,"yes","Glasgow"
11400,"F",29,13,56,193,0,0,0,0,0,2,2,"yes","London"
11422,"F",1,1,15,295,0,0,0,0,0,0,1,"yes","London"
11432,"F",63,7,133,43,2,0,2,0,0,3,4,"yes","Liverpool"
11444,"F",13,9,26,250,0,0,1,1,0,0,0,"yes","London"
11457,"F",15,15,15,257,0,0,0,0,0,1,0,"yes","Birmingham"
11463,"F",33,1,106,279,4,1,0,1,0,2,1,"yes","Birmingham"
11474,"M",39,13,61,25,1,0,0,0,2,2,0,"yes","London"
11521,"F",15,1,40,124,1,0,0,0,1,1,0,"yes","Birmingham"
11526,"M",55,5,102,56,1,2,1,1,1,0,3,"yes","London"
11527,"F",39,13,85,176,1,1,0,0,0,4,1,"yes","Birmingham"
11541,"M",31,15,49,145,0,0,1,1,0,2,0,"yes","London"
11545,"M",15,3,52,143,1,0,1,0,0,1,1,"yes","Manchester"
11567,"F",5,5,15,235,0,0,0,1,0,0,0,"yes","London"
11568,"F",45,11,145,329,2,1,1,1,0,4,3,"yes","London"
11581,"F",33,9,83,136,1,1,1,0,0,1,3,"yes","London"
11616,"M",25,7,85,37,1,0,2,1,0,1,2,"yes","London"
11622,"F",3,3,15,155,0,0,1,0,0,0,0,"yes","London"
11658,"M",7,7,15,291,0,0,1,0,0,0,0,"yes","sheffield"
11671,"M",35,11,135,115,1,1,4,2,1,3,0,"yes","Glasgow"
11676,"M",15,13,29,247,0,0,0,0,0,1,1,"yes","Birmingham"
11689,"M",47,1,135,267,2,2,1,1,2,1,3,"yes","London"
11691,"M",19,19,15,168,0,0,0,0,0,1,0,"yes","sheffield"
11711,"F",13,13,15,3,0,1,0,0,0,0,0,"yes","London"
11715,"F",41,5,134,144,0,1,2,2,1,1,4,"yes","London"
11729,"M",57,3,123,78,2,3,1,1,1,1,2,"yes","London"
11752,"F",39,1,91,259,0,0,1,1,1,0,4,"yes","London"
11788,"F",11,11,15,115,0,0,0,1,0,0,0,"yes","London"
11806,"M",15,1,74,259,0,1,1,0,1,0,3,"yes","London"
11810,"M",49,3,131,38,1,0,2,4,0,3,1,"yes","sheffield"
11812,"F",29,7,133,148,1,0,2,2,1,1,4,"yes","London"
11819,"F",5,5,15,166,0,0,0,0,0,1,0,"yes","London"
11851,"M",35,13,120,299,3,2,1,1,2,2,0,"yes","London"
11855,"M",15,9,41,195,0,0,0,1,1,0,1,"yes","London"
11876,"F",5,5,15,289,0,0,0,0,0,1,0,"yes","Glasgow"
11879,"F",13,13,15,162,0,0,0,1,0,0,0,"yes","Birmingham"
11883,"F",23,5,62,235,1,0,0,0,2,1,1,"yes","London"
11889,"F",35,5,73,288,1,0,2,0,0,2,1,"yes","London"
11895,"M",17,3,62,325,3,1,1,0,1,0,0,"yes","London"
11897,"F",29,29,15,230,0,0,0,0,0,1,0,"yes","London"
11905,"F",7,1,29,155,0,0,0,0,1,0,1,"yes","London"
11918,"F",15,5,56,181,0,0,1,0,0,3,0,"yes","Birmingham"
11945,"F",43,9,141,326,0,2,3,2,2,0,3,"yes","London"
11947,"F",47,11,133,98,0,3,0,2,2,2,2,"yes","London"
11950,"M",29,13,67,206,0,0,0,1,0,2,2,"yes","London"
11956,"F",11,5,28,140,1,0,0,0,0,1,0,"yes","London"
11959,"M",75,35,118,105,3,0,2,0,1,3,1,"yes","London"
11966,"F",29,29,15,247,1,0,0,0,0,0,0,"yes","Glasgow"
11980,"F",9,9,15,280,0,0,1,0,0,0,0,"yes","London"
12005,"M",9,9,15,208,0,0,0,0,0,1,0,"yes","London"
12013,"F",3,3,15,261,0,1,0,0,0,0,0,"yes","Birmingham"
12014,"M",11,3,25,90,1,0,1,0,0,0,0,"yes","Glasgow"
12038,"M",97,29,134,293,2,1,2,1,4,1,1,"yes","Glasgow"
12041,"F",21,13,29,268,1,0,0,0,0,0,1,"yes","Glasgow"
12054,"M",31,7,74,222,0,1,2,0,0,2,1,"yes","Birmingham"
12067,"M",35,15,57,141,1,0,1,1,0,2,0,"yes","London"
12091,"M",23,7,60,174,2,0,0,1,0,2,0,"yes","Birmingham"
12092,"F",65,9,116,68,1,2,1,1,0,3,2,"yes","Birmingham"
12094,"M",33,9,95,185,1,1,4,0,0,0,2,"yes","sheffield"
12111,"M",45,1,95,319,3,1,0,0,0,3,1,"yes","London"
12112,"M",15,7,28,44,0,1,0,0,0,1,0,"yes","London"
12122,"M",15,15,15,272,0,0,0,0,0,0,1,"yes","London"
12124,"F",71,9,143,298,2,1,0,2,1,2,4,"yes","Manchester"
12127,"F",53,3,114,103,3,0,2,1,1,2,1,"yes","London"
12154,"M",19,13,26,100,0,0,1,1,0,0,0,"yes","London"
12177,"F",9,9,15,238,0,0,0,0,0,1,0,"yes","Manchester"
12213,"M",37,15,58,154,1,0,1,2,0,0,1,"yes","London"
12234,"M",3,1,28,49,0,0,1,0,0,1,0,"yes","Birmingham"
12235,"M",13,13,15,166,0,0,0,0,0,0,1,"yes","London"
12246,"M",21,13,37,72,0,0,1,0,2,0,0,"yes","Birmingham"
12262,"M",19,5,47,101,0,1,1,0,0,2,0,"yes","London"
12264,"F",45,9,91,86,0,0,2,0,1,2,2,"yes","Manchester"
12269,"F",17,15,29,218,1,0,0,0,0,0,1,"yes","Bristol"
12273,"M",3,3,15,114,0,0,0,0,0,0,1,"yes","London"
12325,"F",19,1,95,38,0,2,2,0,0,0,4,"yes","Manchester"
12343,"M",17,9,28,165,0,0,1,0,0,1,0,"yes","London"
12353,"F",61,9,120,104,3,0,2,0,0,3,2,"yes","Birmingham"
12371,"F",35,1,74,136,2,0,1,0,0,1,2,"yes","Birmingham"
12389,"F",53,9,100,219,1,3,2,0,1,1,1,"yes","London"
12396,"F",17,1,88,141,0,0,1,1,1,3,1,"yes","London"
12399,"M",47,15,73,47,0,1,1,0,1,2,1,"yes","London"
12403,"F",35,1,107,87,2,0,2,0,2,2,1,"yes","sheffield"
12429,"M",53,13,146,85,1,1,1,1,2,3,3,"yes","Liverpool"
12431,"F",21,15,29,145,0,0,0,0,1,0,1,"yes","Birmingham"
12432,"F",21,3,100,217,2,1,2,0,1,0,3,"yes","London"
12441,"M",69,5,143,262,5,0,0,2,0,3,2,"yes","London"
12445,"F",27,27,15,282,0,0,0,0,1,0,0,"yes","Glasgow"
12463,"F",7,5,25,232,0,0,2,0,0,0,0,"yes","London"
12482,"F",17,3,89,70,1,0,1,0,0,1,4,"yes","Glasgow"
12483,"M",11,7,29,196,1,0,0,0,0,0,1,"yes","London"
12487,"M",15,11,29,258,0,0,0,0,0,0,2,"yes","sheffield"
12527,"M",67,15,144,271,5,0,0,2,1,1,3,"yes","London"
12533,"M",5,3,25,203,1,0,1,0,0,0,0,"yes","Birmingham"
12542,"M",49,1,120,149,4,0,1,1,1,1,2,"yes","London"
12559,"F",15,15,15,214,0,0,0,0,0,0,1,"yes","London"
12573,"F",9,1,28,287,0,0,0,0,0,2,0,"yes","London"
12575,"F",1,1,15,276,0,0,0,0,0,1,0,"yes","London"
12579,"F",35,19,33,143,1,0,1,0,0,1,0,"yes","London"
12589,"F",73,11,131,191,3,2,1,1,0,4,1,"yes","Birmingham"
12600,"F",37,1,115,242,2,0,2,1,1,1,3,"yes","Glasgow"
12602,"F",31,27,28,275,1,0,0,0,0,1,0,"yes","Glasgow"
12615,"F",15,9,29,212,1,0,0,0,0,0,1,"yes","London"
12647,"F",5,1,28,275,0,1,0,0,0,1,0,"yes","London"
12681,"F",9,1,26,279,0,0,1,1,0,0,0,"yes","Birmingham"
12700,"M",39,1,147,194,1,0,2,1,3,3,2,"yes","Birmingham"
12708,"F",31,11,91,74,1,2,1,2,0,1,1,"yes","Glasgow"
12718,"M",37,9,91,68,1,1,2,1,2,0,1,"yes","Glasgow"
12747,"F",29,7,45,223,1,1,0,0,0,2,0,"yes","Birmingham"
12760,"M",3,3,15,215,0,0,0,0,0,1,0,"yes","Bristol"
12762,"F",1,1,15,7,0,0,0,0,0,1,0,"yes","London"
12768,"M",25,3,49,26,0,1,0,1,0,0,2,"yes","London"
12769,"M",11,7,27,135,0,1,0,0,1,0,0,"yes","Birmingham"
12771,"M",21,3,71,285,2,1,0,1,0,0,2,"yes","Birmingham"
12784,"M",21,3,41,229,2,2,0,0,0,0,0,"yes","London"
12791,"M",29,3,139,125,4,2,2,0,0,1,3,"yes","London"
12812,"M",45,11,84,184,0,0,3,1,1,2,0,"yes","Manchester"
12824,"F",7,3,26,288,1,0,0,1,0,0,0,"yes","London"
12827,"M",19,1,51,123,0,0,1,0,1,0,2,"yes","London"
12832,"F",17,1,79,35,1,1,1,1,2,0,1,"yes","London"
12851,"M",43,29,71,84,1,0,3,0,0,0,2,"yes","Bristol"
12892,"F",35,3,122,165,3,1,2,1,2,1,1,"yes","London"
12899,"F",69,13,127,295,2,1,3,0,1,3,1,"yes","London"
12901,"F",9,9,15,33,0,1,0,0,0,0,0,"yes","London"
12904,"M",23,13,40,129,0,0,0,0,1,2,0,"yes","Birmingham"
12911,"F",3,1,29,55,0,0,0,0,0,1,1,"yes","Manchester"
12921,"M",41,11,81,49,2,1,1,0,1,1,1,"yes","London"
12943,"M",7,7,15,213,0,0,0,0,0,1,0,"yes","London"
12947,"F",31,9,42,182,1,1,1,0,0,1,0,"yes","London"
12949,"F",23,13,51,264,0,1,0,0,0,1,2,"yes","Birmingham"
12963,"M",9,9,15,177,0,0,1,0,0,0,0,"yes","Manchester"
12976,"F",37,11,133,113,3,0,4,0,0,0,4,"yes","Birmingham"
12980,"F",19,1,73,284,0,1,2,0,1,1,1,"yes","sheffield"
